Tuning Method,0.1%,1%,10%,100%,Dataset
None,68.12,77.18,82.55,87.41,MNLI
Adapter,66.72,77.44,83.11,87.18,MNLI
BitFit,56.78,74.12,81.04,84.34,MNLI
LoRA,62.62,73.98,80.65,84.81,MNLI
None,26.76,40.72,57.15,74.09,RACE
Adapter,26.21,35.52,54.68,70.35,RACE
BitFit,26.29,35.58,52.12,62.12,RACE
LoRA,25.82,31.18,53.53,69.14,RACE
None,31.90,59.93,70.49,76.84,SQuAD
Adapter,36.59,60.83,70.79,75.93,SQuAD
BitFit,29.78,55.78,67.98,73.76,SQuAD
LoRA,30.56,56.28,68.77,74.86,SQuAD
None,92.78,94.18,95.37,96.47,Yelp
Adapter,92.18,94.14,95.40,96.27,Yelp
BitFit,88.87,93.47,95.08,95.82,Yelp
LoRA,91.81,93.61,94.87,95.99,Yelp
