Dataset,Data-ratio,Tuning Method,Steps,Average Metrics
mnli,0.001,Adapter,2000,62.91036799511376
mnli,0.001,Adapter,4000,63.18012928182419
mnli,0.001,Adapter,6000,63.246297144602224
mnli,0.001,Adapter,8000,63.368453198961674
mnli,0.001,Adapter,10000,63.26156665139716
mnli,0.001,Adapter,12000,64.2846236066575
mnli,0.001,Adapter,14000,65.17534483636179
mnli,0.001,Adapter,16000,65.7352267521759
mnli,0.001,Adapter,18000,66.01007787448465
mnli,0.001,Adapter,20000,66.26965948999847
mnli,0.001,Adapter,22000,66.51906143431567
mnli,0.001,Adapter,24000,66.72265485824808
mnli,0.010,Adapter,2000,77.23316536875859
mnli,0.010,Adapter,4000,77.4418486282893
mnli,0.100,Adapter,2000,83.11192548480683
mnli,1.000,Adapter,2000,80.94365551992671
mnli,1.000,Adapter,4000,83.25953071715784
mnli,1.000,Adapter,6000,84.19606046724691
mnli,1.000,Adapter,8000,84.85264925942893
mnli,1.000,Adapter,10000,84.99007482058329
mnli,1.000,Adapter,12000,85.2903751208836
mnli,1.000,Adapter,14000,85.73319081793657
mnli,1.000,Adapter,16000,85.89606555708251
mnli,1.000,Adapter,18000,85.10205120374611
mnli,1.000,Adapter,20000,86.25235404896422
mnli,1.000,Adapter,22000,86.18109635058786
mnli,1.000,Adapter,24000,86.37451010332367
mnli,1.000,Adapter,26000,85.51432788720923
mnli,1.000,Adapter,28000,86.56792385605945
mnli,1.000,Adapter,30000,86.53229500687128
mnli,1.000,Adapter,32000,86.81223596477834
mnli,1.000,Adapter,34000,87.102356593882
mnli,1.000,Adapter,36000,87.18379396345497
mnli,0.001,Bitfit,2000,49.31541711202728
mnli,0.001,Bitfit,4000,49.549549549549546
mnli,0.001,Bitfit,6000,49.73787346668703
mnli,0.001,Bitfit,8000,49.982185575405914
mnli,0.001,Bitfit,10000,50.02290426019239
mnli,0.001,Bitfit,12000,50.24685702651804
mnli,0.001,Bitfit,14000,50.37410291647579
mnli,0.001,Bitfit,16000,50.13488064335522
mnli,0.001,Bitfit,18000,55.41812999440118
mnli,0.001,Bitfit,20000,56.10525780017306
mnli,0.001,Bitfit,22000,56.34956990889194
mnli,0.001,Bitfit,24000,56.43609711406321
mnli,0.001,Bitfit,26000,56.53280399043111
mnli,0.001,Bitfit,28000,56.77711609914999
mnli,0.010,Bitfit,2000,74.11818598259276
mnli,0.100,Bitfit,2000,77.64544205222171
mnli,0.100,Bitfit,4000,78.93317045859419
mnli,0.100,Bitfit,6000,80.02748511223088
mnli,0.100,Bitfit,8000,78.35801903598514
mnli,0.100,Bitfit,10000,81.0403623962946
mnli,1.000,Bitfit,2000,76.3882526594391
mnli,1.000,Bitfit,4000,80.04784445462411
mnli,1.000,Bitfit,6000,80.52628900086528
mnli,1.000,Bitfit,8000,79.49305237440831
mnli,1.000,Bitfit,10000,81.24904565582531
mnli,1.000,Bitfit,12000,82.06850918715325
mnli,1.000,Bitfit,14000,81.97689214638368
mnli,1.000,Bitfit,16000,82.59785208937751
mnli,1.000,Bitfit,18000,82.76072682852343
mnli,1.000,Bitfit,20000,83.01012877284064
mnli,1.000,Bitfit,22000,82.83198452689979
mnli,1.000,Bitfit,24000,83.34605792232911
mnli,1.000,Bitfit,26000,83.7430650989973
mnli,1.000,Bitfit,28000,83.84486181096351
mnli,1.000,Bitfit,30000,83.90593983814323
mnli,1.000,Bitfit,32000,83.77360411258717
mnli,1.000,Bitfit,34000,84.25204865882831
mnli,1.000,Bitfit,36000,84.27749783681988
mnli,1.000,Bitfit,38000,84.16043161805874
mnli,1.000,Bitfit,40000,84.3385758639996
mnli,0.001,Lora,2000,62.50827098284726
mnli,0.001,Lora,4000,62.5286303252405
mnli,0.001,Lora,6000,62.53880999643712
mnli,0.001,Lora,8000,62.55916933883036
mnli,0.001,Lora,10000,62.57952868122359
mnli,0.001,Lora,12000,62.62024736601008
mnli,0.010,Lora,2000,72.82536774062199
mnli,0.010,Lora,4000,73.79243650430091
mnli,0.010,Lora,6000,73.92986206545528
mnli,0.010,Lora,8000,73.97567058584008
mnli,0.100,Lora,2000,78.90263144500432
mnli,0.100,Lora,4000,80.02239527663257
mnli,0.100,Lora,6000,80.64844505522471
mnli,1.000,Lora,2000,78.536163281926
mnli,1.000,Lora,4000,81.03527256069628
mnli,1.000,Lora,6000,82.06341935155494
mnli,1.000,Lora,8000,82.28228228228228
mnli,1.000,Lora,10000,82.46551636382145
mnli,1.000,Lora,12000,82.91851173207105
mnli,1.000,Lora,14000,83.18827301878149
mnli,1.000,Lora,16000,83.1933628543798
mnli,1.000,Lora,18000,83.147554333995
mnli,1.000,Lora,20000,84.099353590879
mnli,1.000,Lora,22000,84.16552145365705
mnli,1.000,Lora,24000,84.099353590879
mnli,1.000,Lora,26000,84.17061128925536
mnli,1.000,Lora,28000,84.2927673436148
mnli,1.000,Lora,30000,84.23677915203339
mnli,1.000,Lora,32000,84.16552145365705
mnli,1.000,Lora,34000,84.55234895912862
mnli,1.000,Lora,36000,84.63378632870159
mnli,1.000,Lora,38000,84.76612205425764
mnli,1.000,Lora,40000,84.81193057464243
mnli,0.001,Fine-tuning,2000,67.86277803226956
mnli,0.001,Fine-tuning,4000,67.9391255662442
mnli,0.001,Fine-tuning,6000,68.00529342902225
mnli,0.001,Fine-tuning,8000,67.99511375782562
mnli,0.001,Fine-tuning,10000,68.11726981218507
mnli,0.010,Fine-tuning,2000,76.7903496717056
mnli,0.010,Fine-tuning,4000,76.7903496717056
mnli,0.010,Fine-tuning,6000,76.86160737008194
mnli,0.010,Fine-tuning,8000,76.87178704127857
mnli,0.010,Fine-tuning,10000,76.95322441085153
mnli,0.010,Fine-tuning,12000,77.00412276683463
mnli,0.010,Fine-tuning,14000,77.0346617804245
mnli,0.010,Fine-tuning,16000,77.01430243803125
mnli,0.010,Fine-tuning,18000,77.0855601364076
mnli,0.010,Fine-tuning,20000,77.18226701277548
mnli,0.100,Fine-tuning,2000,81.56970529851885
mnli,0.100,Fine-tuning,4000,82.29755178907722
mnli,0.100,Fine-tuning,6000,82.55204356899272
mnli,1.000,Fine-tuning,2000,79.81371201710185
mnli,1.000,Fine-tuning,4000,83.85504148216013
mnli,1.000,Fine-tuning,6000,84.7864813966509
mnli,1.000,Fine-tuning,8000,85.19366824451569
mnli,1.000,Fine-tuning,10000,85.53468722960248
mnli,1.000,Fine-tuning,12000,86.17600651498957
mnli,1.000,Fine-tuning,14000,86.4406779661017
mnli,1.000,Fine-tuning,16000,86.62391204764086
mnli,1.000,Fine-tuning,18000,87.07690741589047
mnli,1.000,Fine-tuning,20000,87.17361429225836
mnli,1.000,Fine-tuning,22000,87.38229755178908
mnli,1.000,Fine-tuning,24000,87.41283656537894
race,0.001,Adapter,2000,26.19193779414774
race,0.001,Adapter,4000,26.212400245549418
race,0.010,Adapter,2000,35.522815633312874
race,0.100,Adapter,2000,52.690812359320645
race,0.100,Adapter,4000,54.675670145283405
race,1.000,Adapter,2000,39.881317781870266
race,1.000,Adapter,4000,52.19971352568038
race,1.000,Adapter,6000,56.18989154900758
race,1.000,Adapter,8000,59.46388377327604
race,1.000,Adapter,10000,60.79394311438511
race,1.000,Adapter,12000,64.66134642930224
race,1.000,Adapter,14000,66.25741763863311
race,1.000,Adapter,16000,66.5438919582566
race,1.000,Adapter,18000,67.32146511152037
race,1.000,Adapter,20000,67.54655207693881
race,1.000,Adapter,22000,68.22181297319419
race,1.000,Adapter,24000,68.89707386944957
race,1.000,Adapter,26000,68.73337425823614
race,1.000,Adapter,28000,68.63106200122775
race,1.000,Adapter,30000,69.42909760589319
race,1.000,Adapter,32000,69.77695927972171
race,1.000,Adapter,34000,69.85880908532842
race,1.000,Adapter,36000,70.26805811336197
race,1.000,Adapter,38000,70.04297114794352
race,1.000,Adapter,40000,70.3499079189687
race,0.001,Bitfit,2000,26.294250051156126
race,0.010,Bitfit,2000,35.584202987517905
race,0.100,Bitfit,2000,36.30038878657663
race,0.100,Bitfit,4000,43.52363413136894
race,0.100,Bitfit,6000,48.332310210763254
race,0.100,Bitfit,8000,48.90525885001023
race,0.100,Bitfit,10000,50.62410476775118
race,0.100,Bitfit,12000,52.117863720073665
race,1.000,Bitfit,2000,45.16063024350317
race,1.000,Bitfit,4000,48.86433394720687
race,1.000,Bitfit,6000,45.09924288929813
race,1.000,Bitfit,8000,51.93370165745856
race,1.000,Bitfit,10000,53.87763454061797
race,1.000,Bitfit,12000,55.371393492940456
race,1.000,Bitfit,14000,56.128504194802545
race,1.000,Bitfit,16000,56.49682832003274
race,1.000,Bitfit,18000,57.581338244321664
race,1.000,Bitfit,20000,58.6658481686106
race,1.000,Bitfit,22000,58.6658481686106
race,1.000,Bitfit,24000,59.05463474524248
race,1.000,Bitfit,26000,59.566196030284424
race,1.000,Bitfit,28000,59.50480867607939
race,1.000,Bitfit,30000,60.83486801718846
race,1.000,Bitfit,32000,60.302844280744836
race,1.000,Bitfit,34000,60.773480662983424
race,1.000,Bitfit,36000,61.10087988541027
race,1.000,Bitfit,38000,61.653366073255576
race,1.000,Bitfit,40000,62.124002455494164
race,0.001,Lora,2000,25.148352772662165
race,0.001,Lora,4000,25.741763863310823
race,0.001,Lora,6000,25.823613668917538
race,0.010,Lora,2000,31.18477593615715
race,0.100,Lora,2000,50.562717413546146
race,0.100,Lora,4000,53.529772866789436
race,1.000,Lora,2000,48.577859627583386
race,1.000,Lora,4000,55.207693881727025
race,1.000,Lora,6000,55.432780847145494
race,1.000,Lora,8000,60.302844280744836
race,1.000,Lora,10000,61.51012891344383
race,1.000,Lora,12000,62.4718641293227
race,1.000,Lora,14000,63.638223859218336
race,1.000,Lora,16000,63.842848373235114
race,1.000,Lora,18000,65.39799467976263
race,1.000,Lora,20000,66.07325557601801
race,1.000,Lora,22000,65.54123183957438
race,1.000,Lora,24000,66.80990382647842
race,1.000,Lora,26000,67.0963781461019
race,1.000,Lora,28000,67.50562717413547
race,1.000,Lora,30000,67.58747697974218
race,1.000,Lora,32000,67.62840188254553
race,1.000,Lora,34000,68.79476161244116
race,1.000,Lora,36000,68.487824841416
race,1.000,Lora,38000,68.89707386944957
race,1.000,Lora,40000,69.1426232862697
race,0.001,Fine-tuning,2000,26.662574176386332
race,0.001,Fine-tuning,4000,26.621649273582975
race,0.001,Fine-tuning,6000,26.764886433394718
race,0.010,Fine-tuning,2000,40.41334151831389
race,0.010,Fine-tuning,4000,40.6793533865357
race,0.010,Fine-tuning,6000,40.6793533865357
race,0.010,Fine-tuning,8000,40.72027828933906
race,0.100,Fine-tuning,2000,54.3073460200532
race,0.100,Fine-tuning,4000,57.15162676488643
race,1.000,Fine-tuning,2000,54.73705749948844
race,1.000,Fine-tuning,4000,59.729895641497855
race,1.000,Fine-tuning,6000,63.55637405361162
race,1.000,Fine-tuning,8000,66.31880499283814
race,1.000,Fine-tuning,10000,67.71025168815224
race,1.000,Fine-tuning,12000,68.89707386944957
race,1.000,Fine-tuning,14000,69.30632289748311
race,1.000,Fine-tuning,16000,70.47268262737876
race,1.000,Fine-tuning,18000,70.4317577245754
race,1.000,Fine-tuning,20000,71.0047063638224
race,1.000,Fine-tuning,22000,72.21199099652138
race,1.000,Fine-tuning,24000,72.60077757315327
race,1.000,Fine-tuning,26000,72.88725189277675
race,1.000,Fine-tuning,28000,72.39615305913648
race,1.000,Fine-tuning,30000,72.84632698997339
race,1.000,Fine-tuning,32000,73.29650092081032
race,1.000,Fine-tuning,34000,73.6852874974422
race,1.000,Fine-tuning,36000,73.72621240024554
race,1.000,Fine-tuning,38000,73.97176181706568
race,1.000,Fine-tuning,40000,74.09453652547575
squad,0.001,Adapter,2000,31.511477923150764
squad,0.001,Adapter,4000,31.797233800893757
squad,0.001,Adapter,6000,31.3958831203376
squad,0.001,Adapter,8000,30.67844682716224
squad,0.001,Adapter,10000,36.58404269784038
squad,0.010,Adapter,2000,59.053248596874866
squad,0.010,Adapter,4000,60.05265964594664
squad,0.010,Adapter,6000,60.82722905749749
squad,0.100,Adapter,2000,67.33589701111076
squad,0.100,Adapter,4000,68.59063046931834
squad,0.100,Adapter,6000,70.78988015513607
squad,1.000,Adapter,2000,66.24989489101415
squad,1.000,Adapter,4000,68.2141759053972
squad,1.000,Adapter,6000,71.37084972704409
squad,1.000,Adapter,8000,71.47098987795121
squad,1.000,Adapter,10000,72.94388361937673
squad,1.000,Adapter,12000,73.29958924107657
squad,1.000,Adapter,14000,73.58708511115056
squad,1.000,Adapter,16000,74.17665380367107
squad,1.000,Adapter,18000,74.32012113968375
squad,1.000,Adapter,20000,74.84261497507413
squad,1.000,Adapter,22000,75.01186253090529
squad,1.000,Adapter,24000,74.4562269136812
squad,1.000,Adapter,26000,74.91267299238075
squad,1.000,Adapter,28000,75.57905043788477
squad,1.000,Adapter,30000,75.23408329843986
squad,1.000,Adapter,32000,75.65839920240798
