{'eval_loss': 0.25312328338623047, 'eval_accuracy': 76.3882526594391, 'eval_runtime': 142.5171, 'eval_samples_per_second': 137.857, 'eval_average_metrics': 76.3882526594391, 'epoch': 0.08}
{'eval_loss': 0.21842457354068756, 'eval_accuracy': 80.04784445462411, 'eval_runtime': 142.3316, 'eval_samples_per_second': 138.037, 'eval_average_metrics': 80.04784445462411, 'epoch': 0.16}
{'eval_loss': 0.20903714001178741, 'eval_accuracy': 80.52628900086528, 'eval_runtime': 141.5344, 'eval_samples_per_second': 138.814, 'eval_average_metrics': 80.52628900086528, 'epoch': 0.24}
{'eval_loss': 0.22450658679008484, 'eval_accuracy': 79.49305237440831, 'eval_runtime': 141.9353, 'eval_samples_per_second': 138.422, 'eval_average_metrics': 79.49305237440831, 'epoch': 0.33}
{'eval_loss': 0.20137931406497955, 'eval_accuracy': 81.24904565582531, 'eval_runtime': 142.1823, 'eval_samples_per_second': 138.182, 'eval_average_metrics': 81.24904565582531, 'epoch': 0.41}
{'eval_loss': 0.19643676280975342, 'eval_accuracy': 82.06850918715325, 'eval_runtime': 142.0213, 'eval_samples_per_second': 138.338, 'eval_average_metrics': 82.06850918715325, 'epoch': 0.49}
{'eval_loss': 0.19301307201385498, 'eval_accuracy': 81.97689214638368, 'eval_runtime': 142.1331, 'eval_samples_per_second': 138.23, 'eval_average_metrics': 81.97689214638368, 'epoch': 0.57}
{'eval_loss': 0.18907105922698975, 'eval_accuracy': 82.59785208937751, 'eval_runtime': 141.2696, 'eval_samples_per_second': 139.074, 'eval_average_metrics': 82.59785208937751, 'epoch': 0.65}
{'eval_loss': 0.18921257555484772, 'eval_accuracy': 82.76072682852343, 'eval_runtime': 141.0644, 'eval_samples_per_second': 139.277, 'eval_average_metrics': 82.76072682852343, 'epoch': 0.73}
{'eval_loss': 0.18710312247276306, 'eval_accuracy': 83.01012877284064, 'eval_runtime': 140.7252, 'eval_samples_per_second': 139.613, 'eval_average_metrics': 83.01012877284064, 'epoch': 0.81}
{'eval_loss': 0.18517160415649414, 'eval_accuracy': 82.83198452689979, 'eval_runtime': 142.6726, 'eval_samples_per_second': 137.707, 'eval_average_metrics': 82.83198452689979, 'epoch': 0.9}
{'eval_loss': 0.18633005023002625, 'eval_accuracy': 83.34605792232911, 'eval_runtime': 139.8378, 'eval_samples_per_second': 140.498, 'eval_average_metrics': 83.34605792232911, 'epoch': 0.98}
{'eval_loss': 0.1802162379026413, 'eval_accuracy': 83.7430650989973, 'eval_runtime': 140.1205, 'eval_samples_per_second': 140.215, 'eval_average_metrics': 83.7430650989973, 'epoch': 1.06}
{'eval_loss': 0.17887750267982483, 'eval_accuracy': 83.84486181096351, 'eval_runtime': 138.2378, 'eval_samples_per_second': 142.125, 'eval_average_metrics': 83.84486181096351, 'epoch': 1.14}
{'eval_loss': 0.18011918663978577, 'eval_accuracy': 83.90593983814323, 'eval_runtime': 138.1223, 'eval_samples_per_second': 142.244, 'eval_average_metrics': 83.90593983814323, 'epoch': 1.22}
{'eval_loss': 0.18258684873580933, 'eval_accuracy': 83.77360411258717, 'eval_runtime': 137.3608, 'eval_samples_per_second': 143.032, 'eval_average_metrics': 83.77360411258717, 'epoch': 1.3}
{'eval_loss': 0.17471814155578613, 'eval_accuracy': 84.25204865882831, 'eval_runtime': 138.0253, 'eval_samples_per_second': 142.344, 'eval_average_metrics': 84.25204865882831, 'epoch': 1.39}
{'eval_loss': 0.17380593717098236, 'eval_accuracy': 84.27749783681988, 'eval_runtime': 137.6448, 'eval_samples_per_second': 142.737, 'eval_average_metrics': 84.27749783681988, 'epoch': 1.47}
{'eval_loss': 0.17475168406963348, 'eval_accuracy': 84.16043161805874, 'eval_runtime': 137.6509, 'eval_samples_per_second': 142.731, 'eval_average_metrics': 84.16043161805874, 'epoch': 1.55}
{'eval_loss': 0.17282967269420624, 'eval_accuracy': 84.3385758639996, 'eval_runtime': 137.6237, 'eval_samples_per_second': 142.759, 'eval_average_metrics': 84.3385758639996, 'epoch': 1.63}
