{'eval_loss': 0.23650597035884857, 'eval_accuracy': 78.536163281926, 'eval_runtime': 139.475, 'eval_samples_per_second': 140.864, 'eval_average_metrics': 78.536163281926, 'epoch': 0.08}
{'eval_loss': 0.2069336473941803, 'eval_accuracy': 81.03527256069628, 'eval_runtime': 139.2983, 'eval_samples_per_second': 141.043, 'eval_average_metrics': 81.03527256069628, 'epoch': 0.16}
{'eval_loss': 0.2021469622850418, 'eval_accuracy': 82.06341935155494, 'eval_runtime': 138.5718, 'eval_samples_per_second': 141.782, 'eval_average_metrics': 82.06341935155494, 'epoch': 0.24}
{'eval_loss': 0.1921355426311493, 'eval_accuracy': 82.28228228228228, 'eval_runtime': 139.1343, 'eval_samples_per_second': 141.209, 'eval_average_metrics': 82.28228228228228, 'epoch': 0.33}
{'eval_loss': 0.18987342715263367, 'eval_accuracy': 82.46551636382145, 'eval_runtime': 138.463, 'eval_samples_per_second': 141.894, 'eval_average_metrics': 82.46551636382145, 'epoch': 0.41}
{'eval_loss': 0.18725769221782684, 'eval_accuracy': 82.91851173207105, 'eval_runtime': 137.6801, 'eval_samples_per_second': 142.7, 'eval_average_metrics': 82.91851173207105, 'epoch': 0.49}
{'eval_loss': 0.18445144593715668, 'eval_accuracy': 83.18827301878149, 'eval_runtime': 136.0291, 'eval_samples_per_second': 144.432, 'eval_average_metrics': 83.18827301878149, 'epoch': 0.57}
{'eval_loss': 0.18122772872447968, 'eval_accuracy': 83.1933628543798, 'eval_runtime': 136.4077, 'eval_samples_per_second': 144.031, 'eval_average_metrics': 83.1933628543798, 'epoch': 0.65}
{'eval_loss': 0.18191634118556976, 'eval_accuracy': 83.147554333995, 'eval_runtime': 136.0891, 'eval_samples_per_second': 144.369, 'eval_average_metrics': 83.147554333995, 'epoch': 0.73}
{'eval_loss': 0.17888271808624268, 'eval_accuracy': 84.099353590879, 'eval_runtime': 137.2058, 'eval_samples_per_second': 143.194, 'eval_average_metrics': 84.099353590879, 'epoch': 0.81}
{'eval_loss': 0.17484980821609497, 'eval_accuracy': 84.16552145365705, 'eval_runtime': 136.117, 'eval_samples_per_second': 144.339, 'eval_average_metrics': 84.16552145365705, 'epoch': 0.9}
{'eval_loss': 0.17572826147079468, 'eval_accuracy': 84.099353590879, 'eval_runtime': 136.1637, 'eval_samples_per_second': 144.29, 'eval_average_metrics': 84.099353590879, 'epoch': 0.98}
{'eval_loss': 0.17638197541236877, 'eval_accuracy': 84.17061128925536, 'eval_runtime': 135.5732, 'eval_samples_per_second': 144.918, 'eval_average_metrics': 84.17061128925536, 'epoch': 1.06}
{'eval_loss': 0.17587436735630035, 'eval_accuracy': 84.2927673436148, 'eval_runtime': 136.9084, 'eval_samples_per_second': 143.505, 'eval_average_metrics': 84.2927673436148, 'epoch': 1.14}
{'eval_loss': 0.17722974717617035, 'eval_accuracy': 84.23677915203339, 'eval_runtime': 136.2556, 'eval_samples_per_second': 144.192, 'eval_average_metrics': 84.23677915203339, 'epoch': 1.22}
{'eval_loss': 0.17836911976337433, 'eval_accuracy': 84.16552145365705, 'eval_runtime': 135.7579, 'eval_samples_per_second': 144.721, 'eval_average_metrics': 84.16552145365705, 'epoch': 1.3}
{'eval_loss': 0.17212100327014923, 'eval_accuracy': 84.55234895912862, 'eval_runtime': 135.6873, 'eval_samples_per_second': 144.796, 'eval_average_metrics': 84.55234895912862, 'epoch': 1.39}
{'eval_loss': 0.17041273415088654, 'eval_accuracy': 84.63378632870159, 'eval_runtime': 136.4059, 'eval_samples_per_second': 144.033, 'eval_average_metrics': 84.63378632870159, 'epoch': 1.47}
{'eval_loss': 0.17153707146644592, 'eval_accuracy': 84.76612205425764, 'eval_runtime': 137.2293, 'eval_samples_per_second': 143.169, 'eval_average_metrics': 84.76612205425764, 'epoch': 1.55}
{'eval_loss': 0.1705138385295868, 'eval_accuracy': 84.81193057464243, 'eval_runtime': 135.4953, 'eval_samples_per_second': 145.001, 'eval_average_metrics': 84.81193057464243, 'epoch': 1.63}
